Query_ID Recall
1 0.1788294467306813
2 0.1858940972222222
3 0.17557101779513887
4 0.1858940972222222
5 0.1788294467306813
6 0.1858940972222222
7 0.17557101779513887
8 0.21388888888888888
9 0.1858940972222222
10 0.17369155555555557
11 0.17557101779513887
13 0.17246781407178782
12 0.17369155555555557
15 0.17246781407178782
16 0.1788294467306813
14 0.1858940972222222
17 0.1858940972222222
18 0.1788294467306813
19 0.13895324444444446
20 0.11921963115378754
21 0.17369155555555557
22 0.08623390703589391
23 0.21388888888888888
24 0.1704772966331164
25 0.11921963115378754
26 0
27 0.13211505939236948
28 0.17557101779513887
29 0.21388888888888888
30 0.07576768739249616
31 0.0617338293428476
32 0.1858940972222222
33 0.17557101779513887
34 0.11497854271452522
35 0.06411350568135579
Query_ID Recall
1 0.1513728307966991
2 0.1561352926587302
3 0.1491275363498264
5 0.1513728307966991
4 0.1561352926587302
7 0.1491275363498264
6 0.1561352926587302
8 0.1734126984126984
9 0.1561352926587302
10 0.1478197587301587
11 0.1491275363498264
12 0.1478197587301587
13 0.1469635193826616
14 0.1561352926587302
15 0.1469635193826616
16 0.1513728307966991
17 0.1561352926587302
18 0.1513728307966991
19 0.11825580698412698
20 0.10091522053113275
21 0.1478197587301587
22 0.0734817596913308
23 0.1734126984126984
24 0.14556313169258914
25 0.10091522053113275
26 0
27 0.11312603921814879
28 0.1491275363498264
29 0.1734126984126984
30 0.06469472519670628
31 0.05274978999146555
32 0.1561352926587302
33 0.1491275363498264
34 0.09797567958844107
35 0.05471631260145278
